country,id,week.year,revenue,units
ID,2959350,9.2019,"9646,08",8
ID,2959656,8.2019,"1213,38",1
ID,2968836,6.2019,"396,60",1
ID,2969658,7.2019,"644,82",1
ID,2969988,7.2019,"644,82",1
ID,2969988,8.2019,"644,82",1
ID,2969988,7.2019,"276,96",1
ID,2970888,8.2019,"1216,38",1
ID,2970888,9.2019,"1207,02",1
ID,2974740,6.2019,"644,82",1
ID,2974740,7.2019,"2447,76",2
ID,2974740,9.2019,"1213,38",1
ID,2977980,6.2019,"644,82",1
ID,2977980,9.2019,"1213,38",1
ID,2986074,7.2019,"2437,20",2
ID,2986074,8.2019,"1213,38",1
ID,2986074,9.2019,"2426,76",2
ID,3013860,8.2019,"2411,64",2
ID,3018204,6.2019,"648,30",1
ID,3018504,6.2019,"648,30",1
ID,3019368,6.2019,"648,30",1
ID,3021948,7.2019,"2423,28",2
ID,3021948,9.2019,"1205,76",1
ID,3027840,7.2019,"1223,82",1
ID,3029364,8.2019,"1203,90",1
ID,3030300,6.2019,"276,60",1
ID,3030300,7.2019,"276,60",1
ID,3030918,7.2019,"1211,64",1
ID,3032910,8.2019,"2244,42",1
ID,3032910,8.2019,"13380,18",11
ID,3033012,8.2019,"1205,76",1
ID,3033486,9.2019,"4846,56",4
ID,3040632,9.2019,"649,50",1
ID,3055092,8.2019,"396,60",1
ID,3065424,6.2019,"1226,76",1
ID,3073506,7.2019,"1226,76",1
ID,3074154,7.2019,"1206,00",1
ID,3074676,6.2019,"627,24",1
ID,3079536,9.2019,"649,50",1
ID,3079848,7.2019,"396,60",1
ID,3086550,9.2019,"1091,52",1
ID,3087240,5.2019,"648,30",1
ID,3087240,6.2019,"648,30",1
ID,3087240,9.2019,"648,30",1
ID,3087240,7.2019,"1226,76",1
ID,3091602,7.2019,"4895,52",4
ID,3091614,8.2019,"1216,98",1
ID,3091614,5.2019,"1227,42",1
ID,3101160,6.2019,"2453,52",2
ID,3102042,6.2019,"2264,76",1
ID,3102936,6.2019,"1200,84",1
ID,3104106,7.2019,"2553,12",4
ID,3104106,7.2019,"1188,72",1
ID,3104106,8.2019,"4754,88",4
ID,3104106,9.2019,"1188,72",1
ID,3125466,7.2019,"4896,66",4
ID,3125598,6.2019,"648,30",1
ID,3125598,8.2019,"6081,90",5
ID,3126630,8.2019,"1213,38",1
ID,3128010,5.2019,"2454,84",2
ID,3128112,6.2019,"2447,64",2
ID,3128640,8.2019,"1216,98",1
ID,3129192,6.2019,"644,82",1
ID,3129192,7.2019,"644,82",1
ID,3129192,8.2019,"644,82",1
ID,3130866,7.2019,"3602,52",3
ID,3131364,9.2019,"2244,42",1
ID,3131364,5.2019,"1226,76",1
ID,3131364,6.2019,"2453,52",2
ID,3131364,7.2019,"1226,76",1
ID,3131364,9.2019,"6081,90",5
ID,3133518,9.2019,"1203,90",1
ID,3134460,7.2019,"277,02",1
ID,3134460,9.2019,"277,02",1
ID,3134460,7.2019,"1226,76",1
ID,3136872,7.2019,"2423,28",2
ID,3137304,6.2019,"648,30",1
ID,3139254,6.2019,"1227,42",1
ID,3139812,9.2019,"1216,38",1
ID,3140148,9.2019,"1203,90",1
ID,3140172,6.2019,"1223,82",1
ID,3140178,6.2019,"1223,82",1
ID,3142368,8.2019,"2244,42",1
ID,3142368,8.2019,"1216,38",1
ID,3142752,8.2019,"2244,42",1
ID,3142752,8.2019,"6081,90",5
ID,3143058,5.2019,"3680,28",3
ID,3143058,7.2019,"1226,76",1
ID,3143496,6.2019,"2263,56",1
ID,3143496,6.2019,"648,30",1
ID,3143496,8.2019,"1216,38",1
ID,3145116,9.2019,"644,82",1
ID,3145116,6.2019,"1223,82",1
ID,3146202,7.2019,"399,36",1
ID,3146202,7.2019,"278,94",1
ID,3148386,8.2019,"277,38",1
ID,3148386,9.2019,"1216,98",1
ID,3148686,6.2019,"644,52",1
ID,3148686,7.2019,"2417,40",2
ID,3148746,8.2019,"1934,28",3
ID,3153252,8.2019,"277,02",1
ID,3154182,6.2019,"1211,64",1
ID,3154704,8.2019,"1216,38",1
ID,3158370,8.2019,"1216,98",1
ID,3164022,6.2019,"1223,82",1
ID,3164022,9.2019,"1213,38",1
ID,3164028,7.2019,"612,24",1
ID,3164028,6.2019,"2377,44",2
ID,3164028,7.2019,"2377,44",2
ID,3164664,6.2019,"1226,76",1
ID,3164664,8.2019,"1216,38",1
ID,3164664,9.2019,"1216,38",1
ID,3166764,9.2019,"1216,38",1
ID,3167604,6.2019,"1188,72",1
ID,3169866,6.2019,"1227,42",1
ID,3169866,7.2019,"8560,74",7
ID,3169866,8.2019,"2434,08",2
ID,3169866,9.2019,"3651,06",3
ID,3202230,8.2019,"1216,98",1
ID,3202620,8.2019,"648,30",1
ID,3206964,6.2019,"2235,60",1
ID,3206964,9.2019,"1205,76",1
ID,3208350,6.2019,"1196,94",1
ID,3209082,6.2019,"1223,82",1
ID,3228144,5.2019,"644,82",1
ID,3229482,5.2019,"2447,76",2
ID,3229482,7.2019,"2447,76",2
ID,3229482,8.2019,"1213,38",1
ID,3229482,9.2019,"2426,76",2
ID,3231744,6.2019,"648,30",1
ID,3234912,7.2019,"5940,00",5
ID,3236148,9.2019,"21687,84",6
ID,3237960,6.2019,"3682,26",3
ID,3277116,6.2019,"1226,76",1
ID,3279882,6.2019,"396,60",1
ID,3285084,8.2019,"2432,76",2
ID,3299334,9.2019,"396,60",1
ID,3311406,8.2019,"644,82",1
ID,3312186,9.2019,"648,30",1
ID,3312186,8.2019,"2434,08",2
ID,3313092,6.2019,"1289,64",2
ID,3313092,5.2019,"1200,84",1
ID,3313092,9.2019,"1200,84",1
ID,3313428,7.2019,"7360,56",6
ID,3315468,8.2019,"644,82",1
ID,3315822,7.2019,"2418,12",2
ID,3315822,8.2019,"1203,90",1
ID,3315822,9.2019,"1203,90",1
ID,3316032,7.2019,"648,30",1
ID,3320544,5.2019,"644,76",1
ID,3322242,7.2019,"1216,98",1
ID,3322308,9.2019,"648,30",1
ID,3323124,6.2019,"4529,52",2
ID,3340242,9.2019,"644,82",1
ID,3340242,6.2019,"1223,82",1
ID,3345642,6.2019,"396,60",1
ID,3345642,8.2019,"396,60",1
ID,3345642,6.2019,"1223,82",1
ID,3345978,8.2019,"1200,84",1
ID,3348702,7.2019,"4857,00",4
ID,3350946,6.2019,"1223,82",1
ID,3350946,7.2019,"2447,76",2
ID,3350946,9.2019,"1213,38",1
ID,3351024,8.2019,"648,30",1
