id+,days_since_purchase,frequency,revenue,log_days_since_purchase,log_frequency,log_revenue,Cluster_Prediction,segment,country,country_clean
ID3812154,36,1,62352.00,3.61,0.69,11.04,4,new customers with low buying ability,ID,Indonesia
ID3812226,71,3,607398.00,4.28,1.39,13.32,5,need bring back,ID,Indonesia
ID3812394,57,6,427236.00,4.06,1.95,12.97,5,need bring back,ID,Indonesia
ID3812484,29,7,1456296.00,3.40,2.08,14.19,1,new customers with high buying ability,ID,Indonesia
ID3812514,246,1,448980.00,5.51,0.69,13.01,5,need bring back,ID,Indonesia
ID3812616,169,4,441174.00,5.14,1.61,13.00,5,need bring back,ID,Indonesia
ID3812646,330,1,244764.00,5.80,0.69,12.41,0,can not lose,ID,Indonesia
ID3826770,50,5,3032430.00,3.93,1.79,14.92,1,new customers with high buying ability,ID,Indonesia
ID3827364,22,19,3882432.00,3.14,3.00,15.17,3,champions,ID,Indonesia
ID3827664,309,1,64482.00,5.74,0.69,11.07,0,can not lose,ID,Indonesia
ID3827724,29,1,61854.00,3.40,0.69,11.03,4,new customers with low buying ability,ID,Indonesia
ID3827748,64,2,78684.00,4.17,1.10,11.27,4,new customers with low buying ability,ID,Indonesia
ID3827754,127,1,970608.00,4.85,0.69,13.79,5,need bring back,ID,Indonesia
ID3827856,43,2,633420.00,3.78,1.10,13.36,5,need bring back,ID,Indonesia
ID3827892,211,1,39672.00,5.36,0.69,10.59,2,may lose,ID,Indonesia
ID3827904,85,1,76692.00,4.45,0.69,11.25,0,can not lose,ID,Indonesia
ID3827940,36,1,222780.00,3.61,0.69,12.31,4,new customers with low buying ability,ID,Indonesia
ID3828108,43,2,242412.00,3.78,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID3828126,85,3,386004.00,4.45,1.39,12.86,5,need bring back,ID,Indonesia
ID3828138,22,2,66888.00,3.14,1.10,11.11,4,new customers with low buying ability,ID,Indonesia
ID3831300,351,1,192402.00,5.86,0.69,12.17,0,can not lose,ID,Indonesia
ID3831312,71,6,314568.00,4.28,1.95,12.66,5,need bring back,ID,Indonesia
ID3831630,267,1,436608.00,5.59,0.69,12.99,5,need bring back,ID,Indonesia
ID3831648,309,1,121638.00,5.74,0.69,11.71,0,can not lose,ID,Indonesia
ID3831828,155,5,428370.00,5.05,1.79,12.97,5,need bring back,ID,Indonesia
ID3831846,50,3,708396.00,3.93,1.39,13.47,5,need bring back,ID,Indonesia
ID3832122,15,11,597708.00,2.77,2.48,13.30,1,new customers with high buying ability,ID,Indonesia
ID3832152,197,1,121662.00,5.29,0.69,11.71,0,can not lose,ID,Indonesia
ID3832158,29,5,486522.00,3.40,1.79,13.10,1,new customers with high buying ability,ID,Indonesia
ID3832200,99,13,2719812.00,4.61,2.64,14.82,5,need bring back,ID,Indonesia
ID3832260,134,13,1125282.00,4.91,2.64,13.93,5,need bring back,ID,Indonesia
ID3832272,246,5,608262.00,5.51,1.79,13.32,5,need bring back,ID,Indonesia
ID3832524,260,1,64830.00,5.56,0.69,11.08,0,can not lose,ID,Indonesia
ID3832536,57,1,120738.00,4.06,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID3832584,99,1,39672.00,4.61,0.69,10.59,2,may lose,ID,Indonesia
ID3832650,50,4,1051950.00,3.93,1.61,13.87,5,need bring back,ID,Indonesia
ID3839766,295,1,121698.00,5.69,0.69,11.71,0,can not lose,ID,Indonesia
ID3839832,323,1,108456.00,5.78,0.69,11.59,0,can not lose,ID,Indonesia
ID3839916,64,2,153384.00,4.17,1.10,11.94,4,new customers with low buying ability,ID,Indonesia
ID3840090,295,3,249408.00,5.69,1.39,12.43,0,can not lose,ID,Indonesia
ID3840180,15,4,795192.00,2.77,1.61,13.59,1,new customers with high buying ability,ID,Indonesia
ID3840240,78,3,1459032.00,4.37,1.39,14.19,5,need bring back,ID,Indonesia
ID3840348,78,3,279618.00,4.37,1.39,12.54,5,need bring back,ID,Indonesia
ID3840378,162,3,285306.00,5.09,1.39,12.56,5,need bring back,ID,Indonesia
ID3840582,99,6,891234.00,4.61,1.95,13.70,5,need bring back,ID,Indonesia
ID3840606,85,1,121662.00,4.45,0.69,11.71,0,can not lose,ID,Indonesia
ID3840726,1,38,12301098.00,0.69,3.66,16.33,3,champions,ID,Indonesia
ID3840810,232,1,120390.00,5.45,0.69,11.70,0,can not lose,ID,Indonesia
ID3840864,176,1,224442.00,5.18,0.69,12.32,0,can not lose,ID,Indonesia
ID3840882,309,1,1216992.00,5.74,0.69,14.01,5,need bring back,ID,Indonesia
ID3840954,29,12,549828.00,3.40,2.56,13.22,1,new customers with high buying ability,ID,Indonesia
ID3840978,1,25,3034404.00,0.69,3.26,14.93,3,champions,ID,Indonesia
ID3841002,71,3,246342.00,4.28,1.39,12.41,5,need bring back,ID,Indonesia
ID3841026,1,41,15077220.00,0.69,3.74,16.53,3,champions,ID,Indonesia
ID3841068,162,1,121662.00,5.09,0.69,11.71,0,can not lose,ID,Indonesia
ID3841206,43,4,264324.00,3.78,1.61,12.48,4,new customers with low buying ability,ID,Indonesia
ID3856782,176,1,121662.00,5.18,0.69,11.71,0,can not lose,ID,Indonesia
ID3857082,1,17,937110.00,0.69,2.89,13.75,1,new customers with high buying ability,ID,Indonesia
ID3857184,204,1,109152.00,5.32,0.69,11.60,0,can not lose,ID,Indonesia
ID3857190,8,30,2590842.00,2.20,3.43,14.77,3,champions,ID,Indonesia
ID3857220,1,20,1186266.00,0.69,3.04,13.99,3,champions,ID,Indonesia
ID3857376,148,1,259800.00,5.00,0.69,12.47,0,can not lose,ID,Indonesia
ID3857538,113,3,95088.00,4.74,1.39,11.46,0,can not lose,ID,Indonesia
ID3857676,8,15,3189306.00,2.20,2.77,14.98,3,champions,ID,Indonesia
ID3857748,330,1,122742.00,5.80,0.69,11.72,0,can not lose,ID,Indonesia
ID3857790,295,2,124704.00,5.69,1.10,11.73,0,can not lose,ID,Indonesia
ID3858024,323,2,127182.00,5.78,1.10,11.75,0,can not lose,ID,Indonesia
ID3858042,22,1,120750.00,3.14,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID3858096,323,1,64830.00,5.78,0.69,11.08,0,can not lose,ID,Indonesia
ID3858126,113,1,121662.00,4.74,0.69,11.71,0,can not lose,ID,Indonesia
ID3858162,211,1,243324.00,5.36,0.69,12.40,0,can not lose,ID,Indonesia
ID3867342,43,1,102678.00,3.78,0.69,11.54,4,new customers with low buying ability,ID,Indonesia
ID3867612,50,2,241500.00,3.93,1.10,12.39,4,new customers with low buying ability,ID,Indonesia
ID3867690,29,8,929292.00,3.40,2.20,13.74,1,new customers with high buying ability,ID,Indonesia
ID3867732,295,1,109152.00,5.69,0.69,11.60,0,can not lose,ID,Indonesia
ID3867756,274,2,729924.00,5.62,1.10,13.50,5,need bring back,ID,Indonesia
ID3867810,15,5,300306.00,2.77,1.79,12.61,1,new customers with high buying ability,ID,Indonesia
ID3868038,22,19,44834562.00,3.14,3.00,17.62,3,champions,ID,Indonesia
ID3868182,127,2,243324.00,4.85,1.10,12.40,0,can not lose,ID,Indonesia
ID3868212,260,1,729972.00,5.56,0.69,13.50,5,need bring back,ID,Indonesia
ID3868272,29,3,362250.00,3.40,1.39,12.80,1,new customers with high buying ability,ID,Indonesia
ID3868380,57,1,2228040.00,4.06,0.69,14.62,5,need bring back,ID,Indonesia
ID3868476,15,1,410712.00,2.77,0.69,12.93,1,new customers with high buying ability,ID,Indonesia
ID3868650,50,4,607398.00,3.93,1.61,13.32,5,need bring back,ID,Indonesia
ID3874680,36,5,488004.00,3.61,1.79,13.10,1,new customers with high buying ability,ID,Indonesia
ID3874866,85,2,608310.00,4.45,1.10,13.32,5,need bring back,ID,Indonesia
ID3874914,57,3,955290.00,4.06,1.39,13.77,5,need bring back,ID,Indonesia
ID3875184,85,1,243276.00,4.45,0.69,12.40,0,can not lose,ID,Indonesia
ID3875394,295,1,64830.00,5.69,0.69,11.08,0,can not lose,ID,Indonesia
ID3875412,43,3,364146.00,3.78,1.39,12.81,5,need bring back,ID,Indonesia
ID3875604,281,1,121638.00,5.64,0.69,11.71,0,can not lose,ID,Indonesia
ID3875712,15,11,541236.00,2.77,2.48,13.20,1,new customers with high buying ability,ID,Indonesia
ID3875754,29,3,465918.00,3.40,1.39,13.05,1,new customers with high buying ability,ID,Indonesia
ID3875844,22,2,363402.00,3.14,1.10,12.80,1,new customers with high buying ability,ID,Indonesia
ID3875910,78,1,61854.00,4.37,0.69,11.03,4,new customers with low buying ability,ID,Indonesia
ID3875964,288,1,23262.00,5.67,0.69,10.05,2,may lose,ID,Indonesia
ID3876060,15,6,6690912.00,2.77,1.95,15.72,3,champions,ID,Indonesia
ID3876114,43,2,242412.00,3.78,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID3882240,162,1,1107900.00,5.09,0.69,13.92,5,need bring back,ID,Indonesia
ID3882306,22,21,3574722.00,3.14,3.09,15.09,3,champions,ID,Indonesia
ID3882408,302,2,242538.00,5.71,1.10,12.40,0,can not lose,ID,Indonesia
ID3882444,36,4,321240.00,3.61,1.61,12.68,1,new customers with high buying ability,ID,Indonesia
ID3882480,302,1,242676.00,5.71,0.69,12.40,0,can not lose,ID,Indonesia
ID3882618,197,2,308106.00,5.29,1.10,12.64,0,can not lose,ID,Indonesia
ID3882804,15,1,120714.00,2.77,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID3882852,8,17,6196458.00,2.20,2.89,15.64,3,champions,ID,Indonesia
ID3882870,78,1,222714.00,4.37,0.69,12.31,0,can not lose,ID,Indonesia
ID3882912,22,2,242412.00,3.14,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID3883158,29,8,1119996.00,3.40,2.20,13.93,1,new customers with high buying ability,ID,Indonesia
ID3883410,29,6,732258.00,3.40,1.95,13.50,1,new customers with high buying ability,ID,Indonesia
ID3883566,36,2,241500.00,3.61,1.10,12.39,4,new customers with low buying ability,ID,Indonesia
ID3891306,15,1,61854.00,2.77,0.69,11.03,4,new customers with low buying ability,ID,Indonesia
ID3891348,22,17,1386138.00,3.14,2.89,14.14,1,new customers with high buying ability,ID,Indonesia
ID3891420,330,1,192402.00,5.80,0.69,12.17,0,can not lose,ID,Indonesia
ID3891684,36,5,601050.00,3.61,1.79,13.31,1,new customers with high buying ability,ID,Indonesia
ID3891912,29,9,2411316.00,3.40,2.30,14.70,1,new customers with high buying ability,ID,Indonesia
ID3891984,183,1,364986.00,5.21,0.69,12.81,5,need bring back,ID,Indonesia
ID3892092,99,2,175476.00,4.61,1.10,12.08,0,can not lose,ID,Indonesia
ID3892122,85,1,222804.00,4.45,0.69,12.31,0,can not lose,ID,Indonesia
ID3892230,120,4,489888.00,4.80,1.61,13.10,5,need bring back,ID,Indonesia
ID3892242,22,1,62352.00,3.14,0.69,11.04,4,new customers with low buying ability,ID,Indonesia
ID3892302,29,3,482952.00,3.40,1.39,13.09,1,new customers with high buying ability,ID,Indonesia
ID3892308,281,1,121698.00,5.64,0.69,11.71,0,can not lose,ID,Indonesia
ID3892440,92,1,121662.00,4.53,0.69,11.71,0,can not lose,ID,Indonesia
ID3892446,29,1,120750.00,3.40,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID3892482,127,2,463650.00,4.85,1.10,13.05,5,need bring back,ID,Indonesia
ID3892488,211,1,121662.00,5.36,0.69,11.71,0,can not lose,ID,Indonesia
ID3892650,8,35,8641758.00,2.20,3.58,15.97,3,champions,ID,Indonesia
ID3892698,15,16,2494386.00,2.77,2.83,14.73,3,champions,ID,Indonesia
ID3892734,232,1,121338.00,5.45,0.69,11.71,0,can not lose,ID,Indonesia
ID3898590,15,5,1160256.00,2.77,1.79,13.96,1,new customers with high buying ability,ID,Indonesia
ID3898602,162,4,719406.00,5.09,1.61,13.49,5,need bring back,ID,Indonesia
